315.00	311.00	451.00	306.00	457.00	494.00	326.00	502.00	
320.03	316.05	456.01	311.04	461.99	499.01	330.99	507.02	
320.01	316.04	456.01	311.04	461.99	499.02	330.98	507.02	
319.99	316.03	456.01	311.03	461.99	499.01	331.00	507.02	
320.00	316.03	456.01	311.02	461.97	499.00	330.99	507.02	
320.00	316.01	456.02	311.00	461.98	499.01	331.00	507.02	
320.02	316.06	456.00	311.05	461.99	499.01	330.99	507.02	
320.01	316.06	455.99	311.06	461.99	499.00	330.99	507.03	
320.02	316.06	455.99	311.05	461.99	499.01	330.99	507.02	
320.01	316.05	455.99	311.07	461.99	499.01	330.99	507.02	
320.00	316.05	455.95	311.10	462.00	499.01	330.99	507.03	
319.97	316.03	455.94	311.12	461.99	498.99	330.99	507.04	
320.00	316.08	455.91	311.14	462.01	499.01	330.98	507.04	
319.99	316.09	455.87	311.20	462.02	499.00	330.97	507.06	
319.97	316.10	455.83	311.22	462.02	499.00	330.97	507.08	
319.97	316.14	455.81	311.25	462.05	499.02	330.97	507.09	
319.96	316.16	455.83	311.26	462.05	499.03	330.97	507.11	
319.95	316.19	455.83	311.31	462.05	499.03	330.95	507.13	
319.95	316.19	455.85	311.29	462.07	499.06	330.96	507.12	
320.01	316.18	455.85	311.22	462.07	499.07	330.97	507.08	
319.97	316.12	455.91	311.15	462.04	499.03	330.98	507.07	
319.98	316.12	455.92	311.15	462.03	499.04	330.98	507.07	
319.97	316.08	455.95	311.13	462.02	499.03	330.97	507.06	
319.98	316.09	455.96	311.09	462.01	499.03	330.99	507.04	
319.98	316.06	455.97	311.05	461.99	499.00	331.00	507.03	
320.01	316.05	455.95	311.03	461.99	498.98	330.99	507.03	
320.01	316.03	455.95	310.98	461.99	498.96	331.01	507.02	
320.01	316.03	455.94	310.99	461.98	498.97	331.01	507.04	
320.02	316.03	455.96	311.00	461.98	498.97	331.01	507.02	
320.00	316.02	455.96	311.02	461.98	498.97	330.99	507.03	
320.04	316.06	455.95	311.04	461.99	498.99	330.99	507.03	
320.05	316.03	455.96	311.02	461.99	498.99	330.99	507.03	
320.08	315.97	455.96	310.97	461.98	498.97	331.00	507.00	
320.15	315.93	455.95	310.95	461.99	498.96	330.99	506.98	
320.15	315.88	455.95	310.93	461.98	498.95	331.01	506.95	
320.13	315.93	455.95	310.94	461.99	498.95	331.00	506.96	
320.10	315.96	455.95	310.96	462.00	498.97	331.00	506.98	
320.07	316.00	455.95	310.96	461.98	498.96	331.01	507.00	
320.07	315.96	455.95	310.95	461.97	498.96	331.00	507.01	
320.12	315.95	455.94	310.91	461.98	498.96	331.01	507.00	
320.10	315.90	455.92	310.84	461.97	498.90	331.01	506.99	
320.18	315.92	455.90	310.81	461.95	498.87	331.01	507.01	
320.17	315.91	455.87	310.76	461.96	498.85	331.02	507.04	
320.20	315.88	455.86	310.71	461.94	498.82	331.02	507.05	
320.21	315.89	455.82	310.73	461.94	498.81	331.01	507.09	
320.19	315.92	455.80	310.72	461.95	498.81	331.02	507.10	
320.20	315.94	455.81	310.74	461.94	498.81	331.02	507.11	
320.17	315.96	455.82	310.77	461.96	498.81	330.99	507.12	
320.18	315.97	455.82	310.77	461.96	498.83	331.02	507.11	
320.16	315.94	455.82	310.78	461.96	498.83	331.02	507.10	
320.21	315.93	455.86	310.75	461.94	498.83	331.02	507.09	
320.23	315.91	455.84	310.74	461.95	498.82	331.02	507.07	
320.25	315.86	455.84	310.72	461.95	498.81	331.01	507.07	
320.28	315.84	455.83	310.71	461.96	498.82	331.01	507.05	
320.26	315.83	455.84	310.75	461.95	498.82	331.00	507.05	
320.21	315.89	455.85	310.79	461.94	498.84	331.00	507.07	
320.18	315.94	455.86	310.82	461.95	498.87	331.01	507.10	
320.13	315.94	455.86	310.82	461.97	498.88	331.02	507.12	
320.14	315.92	455.85	310.77	461.96	498.85	331.02	507.11	
320.16	315.86	455.84	310.73	461.95	498.82	331.01	507.10	
320.19	315.86	455.81	310.70	461.95	498.81	331.02	507.10	
320.25	315.83	455.80	310.65	461.94	498.81	331.03	507.08	
320.24	315.80	455.79	310.64	461.94	498.80	331.02	507.09	
320.28	315.78	455.80	310.59	461.94	498.79	331.04	507.08	
320.26	315.76	455.80	310.58	461.94	498.79	331.04	507.08	
320.29	315.76	455.80	310.56	461.93	498.78	331.05	507.10	
320.29	315.80	455.80	310.56	461.94	498.77	331.04	507.11	
320.31	315.79	455.76	310.57	461.94	498.76	331.03	507.13	
320.33	315.72	455.76	310.51	461.94	498.75	331.04	507.14	
320.39	315.65	455.77	310.48	461.90	498.72	331.04	507.12	
320.46	315.60	455.78	310.43	461.93	498.73	331.04	507.10	
320.47	315.53	455.78	310.39	461.94	498.72	331.06	507.06	
320.59	315.48	455.81	310.34	461.93	498.71	331.06	507.03	
320.65	315.42	455.81	310.33	461.93	498.70	331.07	507.01	
320.69	315.33	455.83	310.32	461.94	498.70	331.06	506.98	
320.72	315.29	455.85	310.27	461.94	498.68	331.06	506.94	
320.80	315.25	455.85	310.23	461.96	498.69	331.08	506.91	
320.90	315.15	455.88	310.15	461.96	498.70	331.10	506.85	
321.00	315.05	455.90	310.13	461.95	498.68	331.11	506.81	
321.20	314.98	455.94	310.07	461.96	498.70	331.10	506.74	
321.30	314.80	455.97	309.97	461.98	498.68	331.14	506.62	
321.52	314.64	456.02	309.94	461.96	498.66	331.14	506.55	
321.69	314.50	456.03	309.82	461.99	498.67	331.17	506.45	
321.90	314.33	456.10	309.76	461.97	498.65	331.15	506.40	
322.09	314.15	456.16	309.69	461.97	498.63	331.17	506.29	
322.26	314.01	456.19	309.63	461.98	498.63	331.19	506.19	
322.39	313.85	456.18	309.61	461.92	498.63	331.11	506.09	
322.48	313.66	456.12	309.57	461.85	498.62	331.05	506.02	
322.55	313.50	456.04	309.49	461.73	498.65	330.92	505.91	
322.59	313.33	455.92	309.47	461.61	498.67	330.75	505.81	
322.64	313.19	455.76	309.41	461.45	498.69	330.59	505.69	
322.73	313.05	455.64	309.36	461.26	498.70	330.40	505.60	
322.68	312.86	455.49	309.26	461.08	498.68	330.26	505.44	
322.66	312.65	455.33	309.13	460.83	498.70	330.04	505.32	
322.62	312.51	455.10	309.04	460.61	498.70	329.77	505.21	
322.59	312.35	454.86	308.98	460.29	498.69	329.47	505.09	
322.45	312.15	454.55	308.97	460.02	498.69	329.22	504.99	
322.38	312.02	454.38	308.89	459.84	498.65	329.02	504.90	
322.34	311.90	454.21	308.69	459.72	498.59	328.93	504.76	
322.30	311.68	453.99	308.51	459.65	498.43	328.84	504.64	
322.21	311.45	453.79	308.33	459.58	498.27	328.81	504.47	
322.14	311.24	453.55	308.12	459.55	498.14	328.77	504.35	
322.18	311.19	453.39	308.03	459.48	497.97	328.70	504.21	
322.21	311.06	453.23	307.75	459.36	497.82	328.70	504.02	
322.13	310.90	453.04	307.63	459.32	497.60	328.62	503.89	
322.08	310.66	452.83	307.39	459.30	497.45	328.54	503.70	
321.99	310.44	452.56	307.10	459.29	497.24	328.54	503.50	
322.02	310.17	452.35	306.84	459.24	497.05	328.49	503.27	
322.05	309.89	452.12	306.64	459.18	496.78	328.46	503.04	
322.17	309.76	451.90	306.48	459.13	496.54	328.43	502.74	
322.27	309.49	451.65	306.26	459.04	496.30	328.44	502.49	
322.28	309.33	451.42	306.03	458.98	496.00	328.40	502.24	
322.16	309.02	451.17	305.76	458.93	495.79	328.33	501.99	
322.16	308.79	450.97	305.55	458.85	495.54	328.35	501.75	
322.25	308.68	450.78	305.37	458.84	495.33	328.32	501.59	
322.38	308.66	450.56	305.32	458.84	495.10	328.27	501.40	
322.33	308.37	450.38	305.04	458.80	494.89	328.35	501.10	
322.42	308.33	450.18	304.88	458.81	494.68	328.34	500.83	
322.51	308.18	449.96	304.79	458.78	494.39	328.32	500.64	
